SKU,Name,Image,colour1,percent1,colour2,percent2,colour3,percent3
000772129336,"Construction Site Jigsaw (12pc) by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129336.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,39.0
882709303015,"MONOGRAM MUG  S by Indigo","https://dynamic.indigoimages.ca/gifts/882709303015.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,78.0
882709303084,"MONOGRAM MUG  Z by Indigo","https://dynamic.indigoimages.ca/gifts/882709303084.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,79.0
882709305880,"Zodiac Pouch - Virgo by Indigo","https://dynamic.indigoimages.ca/gifts/882709305880.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,87.0
000772129367,"Prehistoric Sunset Wooden Jigsaw Puzzle - 24 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129367.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,19.0,BROWN,13.0,GREEN,12.0
000772129404,"See & Spell by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772129404.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,31.0,PINK,21.0,BLUE,16.0
000772130189,"Wooden Lacing Shoe by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130189.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",RED,33.0,PINK,23.0,GREY/WHITE,21.0
000772130424,"First Bead Maze by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130424.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,24.0,YELLOW,19.0,GREY/WHITE,17.0
000772130486,"Picnic Basket Fill & Spill by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130486.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,32.0,YELLOW,24.0,GREY/WHITE,14.0
000772130493,"Pretty Purse Fill and Spill by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130493.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",PINK,30.0,GREY/WHITE,18.0,BLACK,17.0
000772130769,"Stacking Construction Vehicles by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772130769.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",ORANGE,27.0,BROWN,20.0,GREY/WHITE,19.0
000772131773,"Wooden Vehicles and Traffic Signs by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772131773.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,39.0,BROWN,33.0
000772132732,"See-Inside Numbers Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772132732.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",GREY/WHITE,54.0
000772133753,"Melissa & Doug Jungle Friends Large Peg Puzzle by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772133753.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BROWN,31.0,GREY/WHITE,27.0,GREEN,20.0
000772133845,"Sea Creatures Peg Puzzle - 6 Pieces by Melissa & Doug","https://dynamic.indigoimages.ca/gifts/000772133845.jpg?maxheight=240&width=228&quality=85&sale=25&lang=en",BLUE,50.0,GREY/WHITE,21.0,PINK,8.0
